HGNC ID	Approved Symbol	Previous Symbols	Synonyms	RefSeq IDs	Entrez Gene ID(supplied by NCBI)
HGNC:17174	NAGK		GNK		55577
HGNC:17175	PLCE1		KIAA1516, PLCE, NPHS3	NM_016341	51196
HGNC:17176	HEBP1		HEBP, HBP		50865
HGNC:17177	CRLF3		CREME9, CYTOR4		51379
HGNC:17178	ADAMTS20		GON-1	NM_025003	80070
HGNC:17179	CDC37L1		HARC, FLJ20639, CDC37B	NM_017913	55664
HGNC:1718	CDC14A		Cdc14A1, Cdc14A2, cdc14	NM_033312	8556
HGNC:17180	ASB5				140458
HGNC:17181	ASB6			NM_017873	140459
HGNC:17182	ASB7			NM_024708	140460
HGNC:17183	ASB8		MGC5540, FLJ21255		140461
HGNC:17184	ASB9		DKFZP564L0862, MGC4954, FLJ20636		140462
HGNC:17185	ASB10	GLC1F		NM_080871	136371
HGNC:17186	ASB11		DKFZp779E2460		140456
HGNC:17187	OLFM1		NOE1, OlfA, AMY, NOELIN	NM_014279	10439
HGNC:17189	OLFM2		OlfC, NOE2		93145
HGNC:1719	CDC14B		Cdc14B1, Cdc14B2, CDC14B3, hCDC14B	NM_033331	8555
HGNC:17190	OLFM4		OlfD, GW112, GC1	NM_006418	10562
HGNC:17192	TIRAP		Mal, wyatt	NM_148910	114609
HGNC:17193	FGF7P2	FGF7L			394217
HGNC:17194	NDUFA13		CGI-39, CDA016, GRIM-19, GRIM19, B16.6	NM_015965	51079
HGNC:17195	ACRBP		SP32, OY-TES-1, CT23	NM_032489	84519
HGNC:17196	HELB				92797
HGNC:17197	ZNF354B		KID2, FLJ25008	NM_058230	117608
HGNC:17198	CHSY1		KIAA0990, CSS1	NM_014918	22856
HGNC:17199	PSORS1C2	C6orf17	SPR1		170680
HGNC:172	ACVR1B	ACVRLK4	ALK4, SKR2, ActRIB	NM_020328	91
HGNC:1720	CDC16		APC6, ANAPC6, CUT9	NM_003903	8881
HGNC:17200	LRRN3		NLRR3, FLJ11129, FIGLER5	NM_018334	54674
HGNC:17202	PSORS1C1	C6orf16	SEEK1	NM_014068	170679
HGNC:17203	PSORS1C3		NCRNA00196	NR_026816	100130889
HGNC:17204	SCA20				407973
HGNC:17205	TMEM8A	TMEM6, TMEM8	M83	NM_021259	58986
HGNC:17206	TMEM242	C6orf35	BM033		729515
HGNC:17207	KLF7P1	KLF7P			100128036
HGNC:17208	BICD2		KIAA0699	NM_015250	23299
HGNC:17209	STK36		KIAA1278, FU		27148
HGNC:17210	DHX37	DDX37	KIAA1517, MGC4322, MGC2695	NM_032656	57647
HGNC:17211	DHX38	DDX38	PRP16, KIAA0224, hPrp16, PRPF16	NM_014003	9785
HGNC:17213	COLEC11		MGC3279, CL-K1	NM_024027	78989
HGNC:17215	LINC00527	C21orf104			54748
HGNC:17216	ERVH48-1	C21orf105, NDUFV3-AS1			90625
HGNC:17217	DIP2A	C21orf106	Dip2, KIAA0184	NM_015151	23181
HGNC:17218	ZNF355P	ZNF834	PRED65		100505852
HGNC:17219	FEM1AP1	FEM1DP		NG_021994	441957
HGNC:1722	CDK1	CDC2	CDC28A	NM_001786	983
HGNC:17220	RPL8P2				100128766
HGNC:17222	RPS5P2			NG_009782	100130240
HGNC:17223	UST		2OST	NM_005715	10090
HGNC:17224	RAB11FIP3		KIAA0665, Rab11-FIP3, eferin	NM_014700	9727
HGNC:17225	DGCR12		DGS-E		25784
HGNC:17226	DGCR11		DGS-D		25786
HGNC:17227	DGCR9		DGS-A, POM121L5P		25787
HGNC:17228	RAD54B		RDH54	NM_012415	25788
HGNC:17229	CCDC19		NESG1	NM_012337	25790
HGNC:1723	CDC20		p55CDC, CDC20A	NM_001255	991
HGNC:17230	KRTAP4-8		KAP4.8	NM_031960	728224
HGNC:17231	KRTAP9-8		KAP9.8		83901
HGNC:17232	TRIM78P	TRIMP1		NR_002777	117852
HGNC:17233	ELMO2		CED12, ELMO-2, CED-12, KIAA1834, FLJ11656	NM_022086	63916
HGNC:17234	ANKRD30A		NY-BR-1	NM_052997	91074
HGNC:17236	PPIAP22	PPIAL3	PPIA3L	NG_005752	653214
HGNC:17238	RPL37P3		RL37P	NG_005972	378818
HGNC:17239	RPL37P4		RL37P2	NG_005973	378819
HGNC:1724	CDC23		APC8, ANAPC8, CUT23		8697
HGNC:17241	TRIM16		EBBP	NM_006470	10626
HGNC:17243	DFNA43				192676
HGNC:17245	CPA6		CPAH	NM_020361	57094
HGNC:17247	FUNDC2P2			NR_003663	388965
HGNC:1725	CDC25A			NM_001789	993
HGNC:17251	RPL9P9			NG_003190	
HGNC:17252	ARGFXP1			NG_004853	503583
HGNC:17253	FUNDC2P1	FUNDC2P		NG_005087	220793
HGNC:17255	KNTC1		KIAA0166, ROD		9735
HGNC:17256	ACTR3B		ARP11, ARP3beta	NM_020445	57180
HGNC:17257	SPDEF		PDEF, bA375E1.3	NM_012391	25803
HGNC:17258	AGTPBP1		KIAA1035, Nna1, CCP1	NM_015239	23287
HGNC:17259	LSM4		YER112W		25804
HGNC:1726	CDC25B			NM_021874	994
HGNC:17260	TNFAIP8		GG2-1, MDC-3.13, SCC-S2	NM_014350	25816
HGNC:17261	MOB4	PREI3, MOBKL3	MOB3, DKFZP564M112, CGI-95, 2C4D, PHOCN	NM_015387	25843
HGNC:17262	BRMS1		DKFZP564A063	NM_015399	25855
HGNC:17263	PART1		DKFZP586D0823, NCRNA00206	NR_024617	25859
HGNC:17264	POLR1A		DKFZP586M0122, FLJ21915, RPO1-4, RPA1	NM_015425	25885
HGNC:17265	ABI3BP		NESHBP, DKFZP586L2024, TARSH		25890
HGNC:17266	NUDT15P1				574532
HGNC:17267	RNF113B	ZNF183L1	RNF161	NM_178861	140432
HGNC:17268	CENPH				64946
HGNC:17269	IP6K3	IHPK3	INSP6K3	NM_054111	117283
HGNC:1727	CDC25C	CDC25	PPP1R60		995
HGNC:17270	PASK		PASKIN, KIAA0135, STK37	NM_015148	23178
HGNC:17271	RRAS2		TC21	NM_012250	22800
HGNC:17272	CENPJ	MCPH6	CPAP, BM032, LAP, LIP1, Sas-4, SASS4, SCKL4	NM_018451	55835
HGNC:17273	KIF15	KNSL7	HKLP2, NY-BR-62		56992
HGNC:17274	TRIM29		ATDC, FLJ36085	NM_012101	23650
HGNC:17275	PSORS4				10547
HGNC:17276	ERI3	PRNPIP	FLJ22943, PINT1	NM_024066	79033
HGNC:17277	ZFR		ZFR1, SPG71		51663
HGNC:17278	PNRC1	PROL2	B4-2, PRR2	NM_006813	10957
HGNC:17279	PROL1		BPLP, PRL1, opiorphin	NM_021225	58503
HGNC:1728	CDC27	D0S1430E, D17S978E	APC3, ANAPC3, NUC2		996
HGNC:17280	ANKRD6		KIAA0957		22881
HGNC:17281	GHITM		HSPC282, PTD010, DERP2, My021, TMBIM5	NM_014394	27069
HGNC:17282	RIMS1	RAB3IP2, CORD7	RIM, KIAA0340, RIM1		22999
HGNC:17283	RIMS2	RAB3IP3	KIAA0751, RIM2, OBOE	NM_001100117	9699
HGNC:17284	POT1		hPot1, DKFZp586D211		25913
HGNC:17286	EXOSC1		hCsl4p, Csl4p, CSL4, Ski4p, SKI4, CGI-108, p13		51013
HGNC:17287	SUV39H2		FLJ23414, KMT1B	NM_024670	79723
HGNC:17288	APOA5		RAP3, APOA-V		116519
HGNC:17289	ELMO3		FLJ13824, CED12, ELMO-3, CED-12	NM_024712	79767
HGNC:1729	CDK11B	CDC2L1	CDK11-p110, CDK11-p58, CDK11-p46	NM_001787	984
HGNC:17290	IL27RA		WSX-1, TCCR, CRL1, WSX1, zcytor1, IL-27R	NM_004843	9466
HGNC:17291	TMED1		ST2L, MGC1270, IL1RL1LG, Il1rl1l	NM_006858	11018
HGNC:17292	SLC44A2		CTL2		57153
HGNC:17293	PRKD2		PKD2, HSPC187, DKFZP586E0820	NM_016457	25865
HGNC:17294	DAB2IP		AF9Q34, DIP1/2, KIAA1743, AIP1	NM_032552	153090
HGNC:17295	AIM1L		CRYBG2, FLJ38020	NM_001039775.2	55057
HGNC:17296	RRM2B		p53R2		50484
HGNC:17297	RNF34		RIFF, FLJ21786, RIF	NM_194271	80196
HGNC:17298	BRF2		FLJ11052, BRFU, TFIIIB50	NM_018310	55290
HGNC:17299	TPTE2		TPIP	NM_199254	93492
HGNC:173	ACVR2A	ACVR2	ACTRII	NM_001616	92
HGNC:1730	CDK11A	CDC2L3, CDC2L2	PITSLRE, CDK11-p110, CDK11-p58, CDK11-p46, p58GTA	NM_024011	728642
HGNC:17300	TAF8	TBN	FLJ32821, TAF(II)43	NM_138572	129685
HGNC:17301	PCSK1N		SAAS	NM_013271	27344
HGNC:17302	NEGR1		KILON, MGC46680, Ntra, IGLON4	NM_173808	257194
HGNC:17303	TAF3		TAF140, TAFII140	NM_031923	83860
HGNC:17304	TAF5L		PAF65B	NM_014409	27097
HGNC:17305	TAF6L		PAF65A	NM_006473	10629
HGNC:17306	TAF9B	TAF9L	TAFII31L, DN-7, DN7, TFIID-31	NM_015975	51616
HGNC:17307	BTAF1		TAFII170, TAF172, MOT1, TAF-172, TAF(II)170	NM_003972	9044
HGNC:17310	TIMM17B		DXS9822, JM3	NM_005834	10245
HGNC:17311	PIAS2		PIASX-BETA, miz, PIASX-ALPHA, ZMIZ4	NM_004671	9063
HGNC:17312	TIMM23		TIM23	NM_006327.2	100287932
HGNC:17313	IP6K2	IHPK2		NM_016291	51447
HGNC:17315	TIMM17A		TIM17, TIM17A	NM_006335	10440
HGNC:17316	TIMM44		TIM44		10469
HGNC:17317	TIMM22	TEX4		NM_013337	29928
HGNC:17318	RXFP2	LGR8	GREAT, GPR106, INSL3R, RXFPR2	NM_130806	122042
HGNC:17321	SP7		osterix, OSX		121340
HGNC:17322	PSORS8				140454
HGNC:17325	PRODH2		HSPOX1	NM_021232	58510
HGNC:17326	SMR3B	PROL3	P-B, PRL3	NM_006685	10879
HGNC:17327	WAC		Wwp4, FLJ31290, PRO1741, BM-016, MGC10753	NM_100264	51322
HGNC:17328	DTNBP1		Dysbindin, My031, HPS7, DBND, BLOC1S8	NM_032122	84062
HGNC:17329	SLA2	C20orf156	FLJ21992, SLAP-2	NM_175077	84174
HGNC:1733	CDK13	CDC2L5	CHED, CDC2L, KIAA1791	NM_003718	8621
HGNC:17330	DDX28		MDDX28, FLJ11282	NM_018380	55794
HGNC:17333	SPATA4		TSARG2, SPEF1B	NM_144644	132851
HGNC:17334	RPL29P2				118432
HGNC:17336	RPL23AP7		RPL23AL1, bA395L14.9		118433
HGNC:17337	LCN6			NM_198946	158062
HGNC:17339	SCZD10				63944
HGNC:1734	CDC34		E2-CDC34, UBE2R1, UBC3	NM_004359	997
HGNC:17340	PRPF8	RP13	PRPC8, Prp8, hPrp8, SNRNP220		10594
HGNC:17341	TRNT1		MtCCA, CGI-47, CCA1		51095
HGNC:17342	BRWD3		FLJ38568, MRX93	NM_153252	254065
HGNC:17343	APOBEC3A		ARP3, PHRBN	NM_145699	200315
HGNC:17344	URB1	C21orf108	KIAA0539, NPA1		9875
HGNC:17345	FTMT		MtF	NM_177478	94033
HGNC:17346	PRPF4B		Prp4, PR4H, KIAA0536		8899
HGNC:17347	DDX23		prp28, U5-100K, PRPF28, SNRNP100	NM_004818	9416
HGNC:17348	PRPF3	RP18	Prp3, hPrp3, SNRNP90	NM_004698	9129
HGNC:17349	PRPF4		Prp4p, HPRP4, HPRP4P, PRP4, SNRNP60	NM_004697	9128
HGNC:1735	CDC37		P50CDC37	NM_007065	11140
HGNC:17350	CDC40		PRP17, EHB3, PRPF17, FLJ10564	NM_015891	51362
HGNC:17351	PRPF18		hPrp18		8559
HGNC:17352	APOBEC3B		PHRBNL, FLJ21201	NM_004900	9582
HGNC:17353	APOBEC3C		APOBEC1L, PBI, bK150C2.3, ARDC2, ARDC4, ARP5	NM_014508	27350
HGNC:17354	APOBEC3D	APOBEC3E	ARP6, APOBEC3DE	NM_152426	140564
HGNC:17356	APOBEC3F		ARP8, BK150C2.4.MRNA, KA6	NM_145298	200316
HGNC:17357	APOBEC3G		CEM15, MDS019, dJ494G10.1, FLJ12740, bK150C2.7	NM_021822	60489
HGNC:17358	TPK1		HTPK1, PP20	NM_022445	27010
HGNC:17359	NUP54				53371
HGNC:1736	CDC42		G25K, CDC42Hs	NM_001791	998
HGNC:17360	LRIG1		LIG-1, DKFZP586O1624, LIG1	NM_015541	26018
HGNC:17361	ARID5A		MRF-1, RP11-363D14	NM_212481	10865
HGNC:17362	ARID5B		FLJ21150, MRF2	XM_084482	84159
HGNC:17363	YAF2				10138
HGNC:17364	DBF4		ASK, chif, ZDBF1, DBF4A	NM_006716	10926
HGNC:17365	SNORD35B	RNU35B	U35B	NR_001285	84546
HGNC:17366	AASS		LORSDH, LKRSDH	NM_005763	10157
HGNC:17367	IFT57	ESRRBL1	FLJ10147, HIPPI, MHS4R2	NM_018010	55081
HGNC:17368	IRAK1BP1		AIP70, SIMPL	XM_059729	134728
HGNC:17369	ABT1				29777
HGNC:1737	CDC42BPA		MRCKA, PK428, FLJ23347, KIAA0451, MRCK	NM_014826	8476
HGNC:17371	FHL5		FLJ33049, ACT, dJ393D12.2	NM_020482	9457
HGNC:17372	ACTR10		HARP11, ACTR11, Arp11		55860
HGNC:17376	AK3	AK6, AK3L1	AKL3L1	NM_016282	50808
HGNC:17377	ALLC		ALC		55821
HGNC:17378	NAGPA		APAA, UCE	NM_016256	51172
HGNC:17379	APBB1IP		INAG1, RIAM	NM_019043	54518
HGNC:1738	CDC42BPB		MRCKB, KIAA1124	NM_006035	9578
HGNC:17380	ANAPC7		APC7	NM_016238	51434
HGNC:17381	SH2B2		APS	NM_020979	10603
HGNC:17382	SRGAP1		KIAA1304, ARHGAP13		57522
HGNC:17383	HRH4		H4R, HH4R, AXOR35, GPCR105, GPRv53		59340
HGNC:17384	RNF111		ARK, Arkadia, FLJ38008, DKFZP761D081	NM_017610	54778
HGNC:17389	SMPDL3A		FLJ20177, ASM3A, ASML3a, yR36GH4.1	NM_006714	10924
HGNC:1739	CDC45	CDC45L2, CDC45L		NM_003504	8318
HGNC:17393	MARCH7	AXOT	MARCH-VII, RNF177	NM_022826	64844
HGNC:17395	CKS1BP4				100499259
HGNC:17397	BANF1		BAF	NM_003860	8815
HGNC:17399	ARHGAP32		GRIT, KIAA0712, MGC1892, RICS, GC-GAP	NM_014715	9743
HGNC:174	ACVR2B		ActR-IIB	NM_001106	93
HGNC:17402	CXorf40B			NP_001013867	541578
HGNC:17407	ZC3H12B	CXorf32	MCPIP2	XM_293334	340554
HGNC:17408	CDC42EP5		CEP5, Borg3	NM_145057	148170
HGNC:17409	ZNF382		FLJ14686, KS1	NM_032825	84911
HGNC:17410	HAPLN2		BRAL1	NM_021817	60484
HGNC:17412	CLCF1		NNT1, BSF3, CLC, NR6, CISS2, BSF-3, NNT-1	NM_013246	23529
HGNC:17416	GPR98	USH2C, MASS1	DKFZp761P0710, KIAA0686, FEB4, VLGR1b	NM_032119	84059
HGNC:17418	MAGEB17			XM_066701	645864
HGNC:17419	EIF5AL1	EIF5AP1	bA342M3.3	NM_001099692	143244
HGNC:1742	LRBA	CDC4L	BGL, LAB300, LBA		987
HGNC:17420	SLEH1				170682
HGNC:17422	CHST11		C4ST1, C4St-1, C4ST, HSA269537	NM_018413	50515
HGNC:17423	CHST12		C4S-2, C4ST2	NM_018641	55501
HGNC:17425	NPFFR1	GPR147	OT7T022, NPFF1R1	NM_022146	64106
HGNC:17427	DPF3		cer-d4, Cerd4, FLJ14079, BAF45c		8110
HGNC:17428	RAPGEFL1		Link-GEFII	NM_016339	51195
HGNC:17429	CGN		KIAA1319	NM_020770	57530
HGNC:1743	CDC5L		PCDC5RP, hCDC5, CEF1, CDC5		988
HGNC:17432	CHIA		AMCase, TSA1902, CHIT2		27159
HGNC:17433	CHP1		Sid470p, CHP, SLC9A1BP, p22, p24	NM_007236	11261
HGNC:17435	SLC12A9		CIP1	NM_020246	56996
HGNC:17438	CLNK		MIST	NM_052964	116449
HGNC:1744	CDC6	CDC18L			990
HGNC:17440	RFWD2		FLJ10416, COP1, RNF200	NM_022457	64326
HGNC:17441	RCOR1	RCOR	COREST, KIAA0071	NM_015156	23186
HGNC:17442	LCN9			NM_001001676	392399
HGNC:17443	TBRG4		Cpr2, KIAA0948, H_TD2522F11.8, FASTKD4	NM_030900	9238
HGNC:17445	RPS27P3			NG_005391	654365
HGNC:17447	CLSTN1		CSTN1, KIAA0911, CDHR12		22883
HGNC:17448	CLSTN2		CSTN2, CS2, FLJ39113, CDHR13	NM_022131	64084
HGNC:17449	CYP39A1				51302
HGNC:1745	CDC7	CDC7L1	Hsk1, huCdc7, HsCdc7	NM_003503	8317
HGNC:17450	CYP3A43				64816
HGNC:17451	CYSLTR1		CysLT1, CysLT(1), CYSLT1R		10800
HGNC:17452	AS3MT		CYT19	NM_020682	57412
HGNC:17453	TRIM74	TRIM50C	MGC45440	NM_198853	378108
HGNC:17460	PSMA6P1	PSMA6P	PSMA6-LIKE, PSMA6Y	NG_002321	64596
HGNC:17466	SLC43A3		SEEEG-1, Eeg1, DKFZp762A227, FOAP-13, PRO1659	NM_017611	29015
HGNC:17468	PDLIM5		LIM, Enh		10611
HGNC:17470	EPGN		epigen, EPG, PRO9904, ALGV3072	NM_001013442	255324
HGNC:17474	ESAM		W117m	NM_138961	90952
HGNC:17478	RPS8P4		Em:AC012468.5	NG_009795	646119
HGNC:17479	RCHY1	ZNF363	CHIMP, DKFZp586C1620, PRO1996, RNF199, ARNIP, PIRH2, ZCHY	NM_015436	25898
HGNC:1748	CDH1	UVO	uvomorulin, CD324	NM_004360	999
HGNC:17480	DFNB43				449481
HGNC:17481	PJA2	RNF131	KIAA0438, Neurodap1	NM_014819	9867
HGNC:17482	GPR132		G2A	NM_013345	29933
HGNC:17485	PPP2R3C	C14orf10	FLJ20644, G4-1, G5PR	NM_017917	55012
HGNC:1749	CDH10			NM_006727	1008
HGNC:17490	TPMTP1			NG_004077	400650
HGNC:17493	GMNN		Gem	NM_015895	51053
HGNC:17494	GJC2	GJA12	CX47, CX46.6, SPG44	NM_020435	57165
HGNC:17495	GJC3	GJE1	CX30.2	NM_181538	349149
HGNC:17496	GKAP1		GKAP42, FKSG21	NM_025211	80318
HGNC:17497	LZIC		MGC15436	NM_032368	84328
HGNC:17499	SERGEF		DelGEF, Gnefr	NM_012139	26297
HGNC:175	ACVRL1	ACVRLK1, ORW2	HHT2, ALK1, HHT		94
HGNC:1750	CDH11		OB, CAD11	NM_033664	1009
HGNC:17500	GORASP2		GRASP55, GRS2, GOLPH6		26003
HGNC:17505	FAM215A	C17orf88	APR-2, LINC00530	NR_026770	23591
HGNC:17509	HEMGN		EDAG, CT155, NDR	NM_197978	55363
HGNC:1751	CDH12		Br-cadherin, CDHB	NM_004061	1010
HGNC:17512	HOMER1		Ves-1, SYN47, HOMER-1B	NM_004272	9456
HGNC:17513	HOMER2		CPD, Cupidin, Vesl-2, HOMER-2B, HOMER-2, HOMER-2A		9455
HGNC:17514	HOMER3		HOMER-3		9454
HGNC:17515	GAB3			NM_001081573	139716
HGNC:1752	CDH12P2	CDH12P	C41-CAD		1011
HGNC:17521	ZNF385A	ZNF385	DKFZp586G1122, Hzf, ZFP385	NM_015481	25946
HGNC:1753	CDH13		CDHH	NM_001257	1012
HGNC:17537	ASIC5	ACCN5	INAC, HINAC		51802
HGNC:17539	INSM2		IA-6		84684
HGNC:1754	CDH15	CDH3, CDH14		NM_004933	1013
HGNC:17542	PRSS29P		Isp2	NG_002329	123787
HGNC:17546	JDP2		JUNDM2	NM_130469	122953
HGNC:1755	CDH16			NM_004062	1014
HGNC:17550	KREMEN1	KREMEN	KRM1		83999
HGNC:17553	ABHD1		LABH1, FLJ36128	NM_032604	84696
HGNC:17556	MED16	THRAP5	DRIP92, TRAP95	NM_005481	10025
HGNC:17557	LCMT1		CGI-68, PPMT1	NM_016309	51451
HGNC:17558	LCMT2		KIAA0547, MGC9534, TYW4, PPM2	NM_014793	9836
HGNC:1756	CDH17		HPT-1, cadherin	NM_004063	1015
HGNC:17562	LSM10		MGC15749	NM_032881	84967
HGNC:17563	METTL3		Spo8, M6A, MT-A70	NM_019852	56339
HGNC:17565	MINK1		B55, MINK, ZC3, MAP4K6, YSK2	NM_015716	50488
HGNC:17567	DLEU7		FLJ44882	NM_198989	220107
HGNC:1757	CDH18		CDH14, EY-CADHERIN	NM_004934	1016
HGNC:17572	EPDR1		MERP-1, MERP1, UCC1, EPDR	NM_017549	54749
HGNC:17574	ALPK3		MAK, KIAA1330, Midori	NM_020778	57538
HGNC:17575	SPEN		KIAA0929, MINT, SHARP, RBM15C	NM_015001	23013
HGNC:17579	STARD3		es64, MLN64		10948
HGNC:1758	CDH19		CDH7	NM_021153	28513
HGNC:17581	APIP		CGI-29, Mmrp19, APIP2	NM_015957	51074
HGNC:17582	KAT6B	MYST4	querkopf, qkf, Morf, MOZ2, ZC2HC6B	NM_012330	23522
HGNC:17585	KCP	CRIM2	FLJ33365, NET67	NM_199349	375616
HGNC:17586	MTCH1		CGI-64, PSAP, SLC25A49	NM_014341	23787
HGNC:17587	MTCH2		SLC25A50	NM_014342	23788
HGNC:17589	ORAOV1		TAOS1	NM_153451	220064
HGNC:1759	CDH2	NCAD	CDHN, CD325	NM_001792	1000
HGNC:17590	C12orf10		MYG, MYG1, Gamm1	NM_021640	60314
HGNC:17591	CLDN23		CLDNL	NM_194284	137075
HGNC:17592	NDFIP1		N4WBP5, MGC10924	NM_030571	80762
HGNC:17597	NCDN		NCDN-1, NCDN-2	NM_014284	23154
HGNC:17598	UBE2J1		HSPC153, CGI-76, NCUBE1, UBC6	NM_016021	51465
HGNC:1760	CDH20		CDH7L3, Cdh7	NM_031891	28316
HGNC:17601	CADM3	IGSF4B	BIgR, FLJ10698, TSLL1, NECL1, SynCAM3, Necl-1	NM_021189	57863
HGNC:17606	FAM85A				619423
HGNC:17609	RASSF5		Maxp1, NORE1, RAPL	NM_031437	83593
HGNC:17613	BFAR		BAR, RNF47	NM_016561	51283
HGNC:17615	PCGF1		NSPC1, RNF68, MGC10882	NM_032673	84759
HGNC:17616	IL17RD		SEF, IL17RLM, FLJ35755, IL-17RD	NM_017563	54756
HGNC:17617	MRGPRX4		MRGX4	NM_054032	117196
HGNC:17619	NDE1		nudE, FLJ20101, NDE	NM_017668	54820
HGNC:1762	CDH3		CDHP, PCAD	NM_001793	1001
HGNC:17620	NDEL1		NUDEL, MITAP1, NDE1L1, NDE2	NM_030808	81565
HGNC:17621	NUDT10		DIPP3a, hDIPP3alpha	NM_153183	170685
HGNC:17623	NUB1		BS4, NYREN18	NM_016118	51667
HGNC:17624	DAP3P1	DAP3P	MRPS29P1		359804
HGNC:17625	ZNF674	MRX92	ZNF673B	NM_001039891	641339
HGNC:17627	ANIB1				116833
HGNC:1763	CDH4			NM_001794	1002
HGNC:17631	POLR1E	PRAF1	FLJ13390, PAF53, FLJ13970	NM_022490	64425
HGNC:17633	NAMPTL	PBEF2	bA92J19.4	NG_005593	646309
HGNC:17634	NUFIP2		KIAA1321, MGC117262, PIG1, 182-FIP, FIP-82, 82-FIP	NM_020772	57532
HGNC:17635	CD274	PDCD1LG1	B7-H, B7H1, PD-L1, PDL1, B7-H1	NM_014143	29126
HGNC:17637	PERP		PIGPC1, dJ496H19.1, KCP1, THW, KRTCAP1	NM_022121	64065
HGNC:17638	MEIS3P2			NG_002418	257468
HGNC:1764	CDH5		7B4, CD144	NM_001795	1003
HGNC:17640	CKS1BP5			NG_027929	100526793
HGNC:17641	DCLRE1B		SNM1B, FLJ12810, FLJ13998	NM_022836	64858
HGNC:17642	DCLRE1C	SCIDA	ARTEMIS, FLJ11360, SNM1C, A-SCID	NM_022487	64421
HGNC:17643	GOPC		dJ94G16.2, PIST, FIG, GOPC1, CAL	NM_020399	57120
HGNC:17644	PIWIL2		HILI, FLJ10351, Mili, CT80		55124
HGNC:17646	NGLY1		FLJ11005, PNG1		55768
HGNC:17648	POPDC2		POP2	NM_022135	64091
HGNC:17649	POPDC3		POP3, MGC22671, bA355M14.1	NM_022361	64208
HGNC:1765	CDH6			NM_004932	1004
HGNC:17650	SH3RF1	SH3MD2	POSH, RNF142, KIAA1494	NM_020870	57630
HGNC:17652	PORCN	DHOF	MG61, PORC, PPN, por	NM_022825	64840
HGNC:17655	GREM2		Prdc, FLJ21195, CKTSF1B2, DAND3	NM_022469	64388
HGNC:1766	CDH7			NM_033646	1005
HGNC:17660	DCLRE1A		SNM1, PSO2, KIAA0086, hSNM1	NM_014881	9937
HGNC:17661	PLA1A		ps-PLA1		51365
HGNC:17662	PTBP2		brPTB, nPTB, PTB, PTBLP		58155
HGNC:17663	PITRM1		MP1, KIAA1104, hMP1, PreP		10531
HGNC:17664	PVRL3		nectin-3, PPR3, PVRR3, DKFZP566B0846, CDw113, CD113	NM_015480	25945
HGNC:1767	CDH8			NM_001796	1006
HGNC:17675	XPO5		KIAA1291	NM_020750	57510
HGNC:17676	RABGEF1		rabex-5, RABEX5	NM_014504	27342
HGNC:17677	RABEP1		neurocrescin, RAB5EP, RABPT5, rabaptin-5	NM_004703	9135
HGNC:17679	RANGRF		MOG1, HSPC165, HSPC236, RANGNRF	NM_016492	29098
HGNC:1768	CDH9			NM_016279	1007
HGNC:17680	RBAK		ZNF769	NM_021163	57786
HGNC:17684	ARMC1		FLJ10511, Arcp	NM_018120	55156
HGNC:17686	RIC1	KIAA1432	bA207C16.1	XM_039698	57589
HGNC:17687	RCL1		RPCL1, RNAC	NM_005772	10171
HGNC:17688	RPP30		TSG15	NM_006413	10556
HGNC:17689	POP5			NM_015918	51367
HGNC:1769	CDIPT		PIS1, PIS	NM_006319	10423
HGNC:17692	ROPN1		ODF6, ropporin, ROPN1A, CT91	NM_017578	54763
HGNC:17693	DHRS3		retSDR1, Rsdr1, SDR1, RDH17, SDR16C1	NM_004753	9249
HGNC:17697	SARS2	SARSM	FLJ20450, mtSerRS, SerRSmt, SARS, SERS, SYS	NM_017827	54938
HGNC:17699	SBK1		Sbk	XM_370948	388228
HGNC:177	ACY1			NM_000666	95
HGNC:1770	CDK10		PISSLRE		8558
HGNC:17700	CCL28		SCYA28, MEC, CCK1	NM_148672	56477
HGNC:17702	SEC61A2		FLJ10578	NM_018144	55176
HGNC:17704	PDZRN3		KIAA1095, SEMACAP3, LNX3	XM_041363	23024
HGNC:17707	HCG11		bK14H9.3, FLJ14049, FLJ30357		493812
HGNC:1771	CDK2				1017
HGNC:17710	SIT1		SIT	NM_014450	27240
HGNC:17712	SIVA1		SIVA, Siva-1, Siva-2, CD27BP	NM_006427	10572
HGNC:17715	ACBD7		FLJ38219, bA455B2.2		414149
HGNC:17717	STK39		DCHT, SPAK	NM_013233	27347
HGNC:17718	SEC11A	SEC11L1	SPC18, sid2895, SPCS4A	NM_014300	23478
HGNC:17719	CDC42SE1		SCIP1, SPEC1	NM_020239	56882
HGNC:1772	CDK3			NM_001258	1018
HGNC:17720	SGPP1			NM_030791	81537
HGNC:17721	C20orf194		DKFZp434N061	NM_001009984	25943
HGNC:17722	SPRED2		Spred-2, FLJ21897, FLJ31917		200734
HGNC:17724	HCG13P		dJ193B12.5		493813
HGNC:17726	ZNRF4		spzn, Ssrzf1, RNF204	NM_181710	148066
HGNC:17727	IQCB2P	IQCB1P1	dJ313I6.1	NG_005320	340192
HGNC:17728	PMFBP1			NM_031293	83449
HGNC:17729	UXS1		FLJ23591, UGD, SDR6E1	NM_025076.3	80146
HGNC:1773	CDK4		PSK-J3	NM_000075	1019
HGNC:17731	CLASRP	SFRS16	SWAP2, CLASP	NM_007056	11129
HGNC:17732	SYNPO2		MYOPODIN		171024
HGNC:17733	PLEKHH1		KIAA1200	XM_031054	57475
